"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Thu Jan 25 17:18:26 +0000 2024","1750568824297132189","Mahfud Geram Prabowo-Gibran Disebut Khofifah Mirip Khulafaur Rasyidin: Sampah Politik https://t.co/ZpMkTlnnxD","0","14","27","63","in","3319260420","1750568824297132189","geloraco","https://twitter.com/geloraco/status/1750568824297132189","","Indonesia"
"Fri Jan 26 02:55:00 +0000 2024","1750713921403801753","semoga bisa sapu bersih kemenangan di Jawa Tengah #JatengGasPolll @prabowo @gibran_tweet https://t.co/vvAazIU1C8","0","0","0","0","in","1508429560529887234","1750713921403801753","Daffyp7","https://twitter.com/Daffyp7/status/1750713921403801753","https://pbs.twimg.com/media/GEvIhFNbQAA0bge.jpg",""
"Fri Jan 26 02:55:13 +0000 2024","1750713976588255329","Survei LSI makin terlihat jelas @prabowo @gibran_tweet unggul di Jawa Tengah  makin besar peluang Pilpres Sekali Putaran #JatengGasPolll https://t.co/9poFICqU2z","0","0","0","0","in","1722228733770338304","1750713976588255329","DishaTara59725","https://twitter.com/DishaTara59725/status/1750713976588255329","https://pbs.twimg.com/media/GEvJE_dbwAAhvrw.jpg","Indonesia"
"Thu Jan 25 06:37:59 +0000 2024","1750407649378943360","Ini mah namanya kuliah Etika Lingkungan bersama Rocky Gerung 😂  Gibran sok pamer istilah  tapi nggak ngerti 🔥 https://t.co/r1JIsuB7Uw","56","81","1052","4351","in","1334853481019056128","1750407649378943360","Mdy_Asmara1701","https://twitter.com/Mdy_Asmara1701/status/1750407649378943360","https://pbs.twimg.com/amplify_video_thumb/1750406245520187392/img/PPfoJyub692KXC4E.jpg","DKI Jakarta, Indonesia"
"Thu Jan 25 05:38:18 +0000 2024","1750392629358207390","Cari pinjeman seratus #NewProfilePic https://t.co/91cL2PfzpT","9914","7319","2084","27406","in","1356478042797797377","1750392629358207390","gibran_tweet","https://twitter.com/gibran_tweet/status/1750392629358207390","https://pbs.twimg.com/media/GEqk0Y-aYAARxkA.jpg",""
"Thu Jan 25 06:32:16 +0000 2024","1750406211697357009","Inisiatif Mas Gibran patut diacungi jempol. Kegiatan ini tidak hanya memberikan bantuan materi  tetapi juga menunjukkan kepedulian terhadap masyarakat yang membutuhkan. #PrabowoMenangKoperasiJaya https://t.co/7JHwyIkFtR","0","0","7","6","in","1316906354401931265","1750406211697357009","SE0K0","https://twitter.com/SE0K0/status/1750406211697357009","https://pbs.twimg.com/media/GEqxLFTaYAAXjjO.jpg","s/her."
"Thu Jan 25 05:41:47 +0000 2024","1750393505770508416","INKUD menunjukkan dukungannya kepada Prabowo-Gibran melalui acara konsolidasi dan silaturahmi  serta memberikan bantuan alat genset di Jawa Tengah. #PrabowoMenangKoperasiJaya https://t.co/r9z4xu2uQi","0","0","6","3","in","1541301842365120512","1750393505770508416","Anggita_Naylin","https://twitter.com/Anggita_Naylin/status/1750393505770508416","https://pbs.twimg.com/media/GEqlnYTaQAA6Hbm.jpg",""
"Thu Jan 25 07:52:28 +0000 2024","1750426393555677234","Enak2 Buruh Tani &amp; Nelayan Situbondo Menyatakan Dukungannya &amp; Siap Menangkan Prabowo - Gibran.  Oke gass 👍 #PrabowoMenangKoperasiJaya https://t.co/gy43eLlBvA","0","0","5","5","in","521085037","1750426393555677234","cintalove_4ever","https://twitter.com/cintalove_4ever/status/1750426393555677234","https://pbs.twimg.com/media/GErDhzbbkAACRP5.jpg",""
"Thu Jan 25 06:04:23 +0000 2024","1750399195700498452","INKUD Jawa Tengah menunjukkan komitmennya dalam mendukung Prabowo-Gibran melalui acara konsolidasi dan memberikan bantuan alat genset kepada masyarakat di Jawa Tengah. #PrabowoMenangKoperasiJaya https://t.co/3JrvDUZSnF","0","0","9","6","in","1413689671821893641","1750399195700498452","Septyamaliaa","https://twitter.com/Septyamaliaa/status/1750399195700498452","https://pbs.twimg.com/media/GEqqycra8AAR58n.jpg",""
"Thu Jan 25 06:03:59 +0000 2024","1750399094944842154","Dalam rangka mendukung Prabowo-Gibran  INKUD Jawa Tengah menggelar acara konsolidasi dan memberikan bantuan alat genset kepada masyarakat di Jawa Tengah sebagai bentuk dukungan. #PrabowoMenangKoperasiJaya https://t.co/Rd0y0mAyLC","0","0","9","6","in","1413689671821893641","1750399094944842154","Septyamaliaa","https://twitter.com/Septyamaliaa/status/1750399094944842154","https://pbs.twimg.com/media/GEqqsmpa4AA_DIC.jpg",""
